id,fullName,dateOfBirth,gender,email,streetAddress,profession,relationship,relationshipStartDate,relationshipEndDate
1,Alisa Aldins,1966-06-26,Female,aaldins0@payments.ex,22947 Artisan Road,Payment Adjustment Coordinator,current,1990-10-31,
2,Regine Sprott,1990-11-21,Female,rsprott1@gsnail.ex,2 Starling Alley,Executive Secretary,current,2001-02-03,
3,Karia Rolinson,1979-10-21,Female,krolinson2@uni.ex,46 Weeping Birch Parkway,Research Assistant I,current,2022-09-09,
4,Frayda Wimpeney,1990-03-27,Female,fwimpeney3@livemail.ex,3 Old Gate Avenue,Senior Developer,current,1998-05-24,
5,Sayer Possell,1995-06-04,Male,sayer@possell.ex,6 American Ash Hill,Environmental Tech,current,2006-03-17,
6,Cobbie Stannett,1960-03-05,Male,cstannett5@jungle.co.ex,1 Myrtle Park,Payment Adjustment Coordinator,prospective,,
7,Arliene Bottini,2000-02-22,Female,abottini6@loa.ex,49656 Hermina Junction,,prospective,,
8,Aila Demann,1994-03-05,Female,ademann7@gsnail.ex,7108 Sommers Court,Assistant Professor,prospective,,
9,Felicia Patrie,2002-10-27,Female,fpatrie8@sysadminsrus.ex,6 Anderson Junction,Systems Administrator IV,previous,2021-06-01,2022-05-31
10,Evvy Pirozzi,1988-07-12,Female,epirozzi9@accounting.ex,5815 Cascade Junction,Accounting Assistant I,current,2010-04-18,
11,Glennie Seddon,1955-11-02,Female,gseddona@hermesmail.ex,1 Delladonna Junction,,previous,1989-08-17,2020-11-01
12,Jeddy O'Hartnedy,1996-05-16,Male,johartnedyb@mail.ex,31978 Bobwhite Center,Desktop Support Technician,prospective,,
13,Page Downey,1976-02-17,Female,pdowneyc@bingbingbing.ex,21 Gerald Street,Programmer Analyst IV,prospective,,
14,Courtney Sharvill,1994-12-11,Male,csharvilld@mail.schooldistrict.ex,5378 Buena Vista Trail,Senior Cost Accountant,previous,2003-12-12,2009-07-01
15,Hershel Kubat,1989-03-09,Male,hkubate@freeemail.ex,0483 Sloan Point,Marketing Manager,previous,1991-03-05,1999-01-15
16,Sigvard Rawsthorne,1975-09-17,Male,srawsthornef@myexample.ex,532 Doe Crossing Lane,Financial Advisor,prospective,,
17,Roanna Wye,1960-05-27,Female,rwyeg@coldmail.ex,6557 Fisk Center,Statistician IV,current,1994-06-05,
18,Flemming Leonida,1973-10-12,Male,fleonidah@freemail.ex,1930 Comanche Alley,Senior Quality Engineer,prospective,,
19,Mauricio Reuven,1995-01-07,Male,mreuveni@hospital.ex,65276 Scott Court,Registered Nurse,current,2012-12-21,
20,Claudine Doggrell,1973-09-19,Female,cdoggrellj@big.tech.ex,6 Sullivan Trail,Project Manager,current,2014-06-28,
